id,time,SuDuMoNiLiang,FPLCSuDu,BianmaQiSuDu,CSJSuDu,LGuanLongShenDu,FPLCShenDu,BianmaQiShenDu,DianshuDianliu1,DianshuDianliu2,LiCi_Current,ZhiDongPressure,Shang_GuoJuan,Xia_GuoJuan
8801,2023/9/15 09:01:44,0,0,0,0,-4.994034767,-4.929712772,-17.86339378,0,0,220.40412902832,0.0558394193649292,0,0
8802,2023/9/15 09:01:48,0,0,0,0,-4.994034767,-4.929712772,-17.86339378,0,0,220.40412902832,0.0558394193649292,0,0
8803,2023/9/15 09:01:52,0,0,0,0,-4.994034767,-4.929712772,-17.86339378,0,0,220.40412902832,0.446715354919434,0,0
8804,2023/9/15 09:01:56,0,0,0,0,-4.994034767,-4.929712772,-17.86339378,1046.66662597656,1060,329.226196289063,4.1693434715271,0,0
8805,2023/9/15 09:02:00,0,0.200000002980232,0,0,-4.714196682,-4.671387196,-17.54478455,1080,1093.33325195313,329.620483398438,7.11021947860718,0,0
8806,2023/9/15 09:02:04,0,0.200000002980232,0,0.100000001490116,-4.111468315,-4.090154648,-17.01376915,799.999938964844,799.999938964844,329.620483398438,8.22700786590576,0,0
8807,2023/9/15 09:02:08,0.600000023841858,0.699999988079071,0.699999988079071,0.600000023841858,-1.786659122,-1.958968878,-14.84722137,73.3333282470703,46.6666641235352,330.409057617188,9.41824913024902,0,0
8808,2023/9/15 09:02:12,0,0,0,0,-0.73188442,-0.688868165,-13.57278156,613.333312988281,620,330.014770507813,8.22700786590576,0,0
8809,2023/9/15 09:02:16,0.200000002980232,0.200000002980232,0.400000005960464,0.200000002980232,-0.236786142,-0.30137983,-13.12672806,826.666625976563,833.333312988281,330.803344726563,8.00364971160889,0,0
8810,2023/9/15 09:02:20,0,0,0,0,0.193734109401703,0.2367984354496,-12.63819218,0,0,226.318374633789,2.6058394908905,0,0
8811,2023/9/15 09:02:24,0,0,0,0,0.193734109401703,0.2367984354496,-12.63819218,0,0,220.40412902832,0.558394193649292,0,0
8812,2023/9/15 09:02:28,0,0,0,0,0.193734109401703,0.2367984354496,-12.63819218,499.999969482422,499.999969482422,317.003448486328,0.558394193649292,0,0
8813,2023/9/15 09:02:32,0,0,0.200000002980232,0,0.279838174581528,0.279852688312531,-12.57447052,1579.99987792969,1579.99987792969,330.014770507813,6.99854040145874,0,0
8814,2023/9/15 09:02:36,0,0,0,0,0.79646247625351,0.774976670742035,-12.04345417,1206.66662597656,1206.66662597656,331.591888427734,7.72445297241211,1,0
8815,2023/9/15 09:02:40,0,0,0,0,0.0430520251393318,0.0430542603135109,0.0637219771742821,0,0,293.346466064453,7.79890537261963,0,0
8816,2023/9/15 09:02:44,0,0,0,0,0.0430520251393318,0.0430542603135109,0.0637219771742821,0,0,220.40412902832,0.0558394193649292,0,0
8817,2023/9/15 09:02:48,0,0,0,0,0.0430520251393318,0.0430542603135109,0.0637219771742821,0,0,220.009841918945,0.0558394193649292,0,0
8818,2023/9/15 09:02:52,0,0,0,0,0.0430520251393318,0.0430542603135109,0.0637219771742821,0,0,220.40412902832,0.0558394193649292,0,0
8819,2023/9/15 09:02:56,0,0,0,0,0.0430520251393318,0.0430542603135109,0.0637219771742821,-733.333313,-740,322.129119873047,0.465328484773636,0,0
8820,2023/9/15 09:03:00,-0.100000001,-0.200000003,-0.200000003,-0.200000003,-0.150682092,-0.064581387,-0.106203295,-1166.666626,-1146.666626,331.197631835938,6.81240940093994,0,0
