id,time,SuDuMoNiLiang,FPLCSuDu,BianmaQiSuDu,CSJSuDu,LGuanLongShenDu,FPLCShenDu,BianmaQiShenDu,DianshuDianliu1,DianshuDianliu2,LiCi_Current,ZhiDongPressure,Shang_GuoJuan,Xia_GuoJuan
1,2023/1/2 21:24:36,0,0,0,0,-415.1508789,-415.1509094,-415.1488647,0,0,221.586975097656,1.39598548412323,0,0
2,2023/1/2 21:24:40,0,0,0,0,-415.1508789,-415.1509094,-415.1488647,0,0,220.40412902832,0.874817550182343,0,0
3,2023/1/2 21:24:44,0,0,0,0,-415.1508789,-415.1509094,-415.1488647,0,0,220.009841918945,0.874817550182343,0,0
4,2023/1/2 21:24:48,0,0,0,0,-415.1508789,-415.1509094,-415.1488647,0,0,220.009841918945,0.874817550182343,0,0
5,2023/1/2 21:24:52,0,0,0,0,-415.1508789,-415.1509094,-415.1488647,0,0,220.009841918945,0.874817550182343,0,0
6,2023/1/2 21:24:56,0,0,0,0,-415.1508789,-415.1509094,-415.1488647,0,0,223.952682495117,0.874817550182343,0,0
7,2023/1/2 21:25:00,0,0,0,0,-415.1508789,-415.1509094,-415.1488647,0,0,329.620483398438,6.25401496887207,0,0
8,2023/1/2 21:25:04,0,0,0,0,-415.1293335,-415.1509094,-415.1488647,0,0,329.620483398438,7.40802955627441,0,0
9,2023/1/2 21:25:08,0,0,0,0,-415.7329102,-415.8407288,-415.8505859,0,0,226.712661743164,1.32153296470642,0,1
10,2023/1/2 21:25:12,0,0,0,0,-415.7329102,-415.8407288,-415.8505859,0,0,220.40412902832,0.0558394193649292,0,1
11,2023/1/2 21:25:16,0,0,0,0,-415.7329102,-415.8407288,-415.8505859,0,0,220.009841918945,0.0558394193649292,0,1
12,2023/1/2 21:25:20,0,0,0,0,-415.7329102,-415.8407288,-415.8505859,0,0,220.009841918945,0.0558394193649292,0,1
13,2023/1/2 21:25:24,0,0,0,0,-415.7329102,-415.8407288,-415.8505859,0,0,220.009841918945,0.0558394193649292,0,1
14,2023/1/2 21:25:28,0,0,0,0,-415.7329102,-415.8407288,-415.8505859,0,0,220.40412902832,0.0558394193649292,0,1
15,2023/1/2 21:25:32,0,0,0,0,-415.7329102,-415.8407288,-415.8505859,0,0,220.009841918945,0.0558394193649292,0,1
