id,time,SuDuMoNiLiang,FPLCSuDu,BianmaQiSuDu,CSJSuDu,LGuanLongShenDu,FPLCShenDu,BianmaQiShenDu,DianshuDianliu1,DianshuDianliu2,LiCi_Current,ZhiDongPressure,Shang_GuoJuan,Xia_GuoJuan
8377,2023/3/25 19:38:52,0,0,0,0,0,0,0,0,0,0,0.037226278334856,0,0
8378,2023/3/25 19:38:56,0,0,0,0,0,0,0,0,0,0,0.037226278334856,0,0
8379,2023/3/25 19:39:00,0,0,0,0,0,0,0,0,0,0,0.037226278334856,0,0
8380,2023/3/25 19:39:04,0,0,0,0,0,0,0,0,0,0,0.037226278334856,0,0
8381,2023/3/25 19:39:08,0,0,0,0,0,0,0,0,0,0,0.037226278334856,0,0
8382,2023/3/25 19:39:12,0,0,0,0,0,0,0,0,0,0,0.037226278334856,0,0
8383,2023/3/25 19:39:16,0,0,0,0,0,0,0,0,0,0,0.037226278334856,0,0
8384,2023/3/25 19:39:20,0,0,0,0,0,0,0,0,0,0,0.037226278334856,0,0
8385,2023/3/25 19:39:24,0,0,0,0,0,0,0,0,0,0,0.037226278334856,0,0
8386,2023/3/25 19:39:28,0,0,0,0,0,0,0,6.66666650772095,0,0,0.037226278334856,0,0
8387,2023/3/25 19:39:32,0,0,0,0,0,0,0,0,0,0,0.037226278334856,0,0
8388,2023/3/25 19:39:36,0,0,0,0,0,0,0,0,0,0,0.037226278334856,0,0
8389,2023/3/25 19:39:40,0,0,0,0,0,0,0,0,0,228.684066772461,0.558394193649292,0,0
8390,2023/3/25 19:39:44,0,0,0,0,0,0,0,0,0,220.40412902832,0.558394193649292,0,0
8391,2023/3/25 19:39:48,0,0,0,0,0,0,0,-20,-26.66666603,328.831909179688,0.558394193649292,0,0
8392,2023/3/25 19:39:52,0,0,0.200000002980232,0,0.129283487796783,0.0215483661741018,0.148829355835915,-560,-566.666626,329.620483398438,6.04927062988281,0,0
8393,2023/3/25 19:39:56,0,0.200000002980232,0,0,0.344755977392197,0.301677137613297,0.361442714929581,-793.333313,-766.666626,329.226196289063,7.50109529495239,0,0
8394,2023/3/25 19:40:00,0,0,0,0,0.581775724887848,0.581805884838104,0.616578757762909,-799.999939,-826.666626,330.014770507813,7.81751871109009,0,0
8395,2023/3/25 19:40:04,0,0,0,0,0.732606470584869,0.689547717571259,0.744146764278412,-839.999939,-826.666626,330.409057617188,7.81751871109009,1,0
8396,2023/3/25 19:40:08,0,0.200000002980232,0,0,0.883437216281891,0.861934661865234,0.914237439632416,-826.666626,-839.999939,329.226196289063,7.81751871109009,1,0
8397,2023/3/25 19:40:12,0,0,0,0,1.05581521987915,1.05586993694305,1.08432817459106,-886.666626,-906.666626,330.409057617188,7.81751871109009,1,0
8398,2023/3/25 19:40:16,0,0,0,0,1.1635514497757,1.16361176967621,1.19063484668732,-879.999939,-893.333313,329.620483398438,7.81751871109009,1,0
8399,2023/3/25 19:40:20,0,0,0,0,1.24974048137665,1.24980521202087,1.27568018436432,-846.666626,-859.999939,329.620483398438,7.81751871109009,1,0
8400,2023/3/25 19:40:24,0,0,0,0,1.33592939376831,1.35754704475403,1.38198685646057,-893.333313,-893.333313,330.014770507813,7.81751871109009,1,0
8401,2023/3/25 19:40:28,0,0,0,0,1.42211842536926,1.42219221591949,1.44577085971832,-873.333313,-879.999939,330.014770507813,7.81751871109009,1,0
8402,2023/3/25 19:40:32,0,0,0,0,1.50830745697021,1.50838565826416,1.53081619739532,-839.999939,-846.666626,330.014770507813,7.81751871109009,1,0
8403,2023/3/25 19:40:36,0,0,0,0,1.5514018535614,1.57303071022034,1.59460020065308,-859.999939,-853.333313,330.014770507813,7.81751871109009,1,0
8404,2023/3/25 19:40:40,0,0,0,0,1.65913820266724,1.6376758813858,1.67964553833008,-866.666626,-873.333313,330.014770507813,7.81751871109009,1,0
8405,2023/3/25 19:40:44,0,0,0,0,1.68068540096283,1.70232093334198,1.70090687274933,-773.333313,-779.999939,330.014770507813,7.81751871109009,1,0
8406,2023/3/25 19:40:48,0,0,0.200000002980232,0,1.87461066246033,1.78851437568665,1.84973621368408,-859.999939,-873.333313,330.409057617188,7.81751871109009,1,0
8407,2023/3/25 19:40:52,0,0,0,0,2.04698872566223,2.04709482192993,2.04108834266663,-819.999939,-833.333313,330.014770507813,7.81751871109009,1,0
8408,2023/3/25 19:40:56,0,0,0,0,2.17627215385437,2.17638492584229,2.16865634918213,-806.666626,-799.999939,329.620483398438,7.81751871109009,1,0
8409,2023/3/25 19:41:00,0,0,0,0,2.34865021705627,2.32722353935242,2.33874702453613,-753.333313,-773.333313,330.409057617188,7.81751871109009,1,0
8410,2023/3/25 19:41:04,0,0,0,0,2.4994809627533,2.49961042404175,2.46631503105164,-793.333313,-799.999939,329.620483398438,7.81751871109009,1,0
8411,2023/3/25 19:41:08,0,0,0,0,2.6934061050415,2.71509408950806,2.67892837524414,-779.999939,-766.666626,329.620483398438,7.81751871109009,1,0
8412,2023/3/25 19:41:12,0,0,0,0,2.84423685073853,2.84438443183899,2.80649638175964,-746.666626,-760,329.620483398438,7.81751871109009,1,0
8413,2023/3/25 19:41:16,0,0,0,0,2.97352027893066,2.97367453575134,2.95532560348511,-766.666626,-766.666626,329.620483398438,7.81751871109009,1,0
8414,2023/3/25 19:41:20,0,0,0,0,3.16744565963745,3.18915820121765,3.14667773246765,-740,-753.333313,330.014770507813,7.81751871109009,1,0
8415,2023/3/25 19:41:24,0,0,0,0,3.31827640533447,3.318448305,3.27424573898315,-713.333313,-720,330.014770507813,7.81751871109009,1,0
8416,2023/3/25 19:41:28,0,0,0.200000002980232,0,3.42601251602173,3.44773864746094,3.40181374549866,-720,-720,329.620483398438,7.81751871109009,1,0
8417,2023/3/25 19:41:32,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,302.020690917969,7.81751871109009,0,0
8418,2023/3/25 19:41:36,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.798416137695,0.0744525566697121,0,0
8419,2023/3/25 19:41:40,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8420,2023/3/25 19:41:44,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8421,2023/3/25 19:41:48,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8422,2023/3/25 19:41:52,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8423,2023/3/25 19:41:56,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.40412902832,0.0558394193649292,0,0
8424,2023/3/25 19:42:00,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8425,2023/3/25 19:42:04,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8426,2023/3/25 19:42:08,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.40412902832,0.0558394193649292,0,0
8427,2023/3/25 19:42:12,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8428,2023/3/25 19:42:16,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8429,2023/3/25 19:42:20,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8430,2023/3/25 19:42:24,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8431,2023/3/25 19:42:28,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8432,2023/3/25 19:42:32,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8433,2023/3/25 19:42:36,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.40412902832,0.0558394193649292,0,0
8434,2023/3/25 19:42:40,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8435,2023/3/25 19:42:44,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8436,2023/3/25 19:42:48,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8437,2023/3/25 19:42:52,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.40412902832,0.0558394193649292,0,0
8438,2023/3/25 19:42:56,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8439,2023/3/25 19:43:00,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.40412902832,0.0558394193649292,0,0
8440,2023/3/25 19:43:04,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8441,2023/3/25 19:43:08,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8442,2023/3/25 19:43:12,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8443,2023/3/25 19:43:16,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8444,2023/3/25 19:43:20,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8445,2023/3/25 19:43:24,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8446,2023/3/25 19:43:28,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8447,2023/3/25 19:43:32,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8448,2023/3/25 19:43:36,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
8449,2023/3/25 19:43:40,0,0,0,0,-6.87357235,-6.895477295,-6.952456951,0,0,220.009841918945,0.0558394193649292,0,0
