id,time,SuDuMoNiLiang,FPLCSuDu,BianmaQiSuDu,CSJSuDu,LGuanLongShenDu,FPLCShenDu,BianmaQiShenDu,DianshuDianliu1,DianshuDianliu2,LiCi_Current,ZhiDongPressure,Shang_GuoJuan,Xia_GuoJuan
6351,2023/2/19 06:53:48,0,-0.200000003,-0.200000003,0,-413.0168152,-412.973938,-413.0011292,-119.9999924,-119.9999924,330.409057617188,12.2102193832397,0,0
6352,2023/2/19 06:53:52,0,0,0,0,-413.2323914,-413.1679077,-413.1925354,-99.99999237,-93.33332825,330.014770507813,12.2102193832397,0,0
6353,2023/2/19 06:53:56,0,0,0,0,-413.447937,-413.3834534,-413.4051819,-80,-86.66666412,330.014770507813,12.2102193832397,0,0
6354,2023/2/19 06:54:00,0,0,0,0,-413.5557251,-413.5127869,-413.5327454,-126.6666641,-160,330.014770507813,9.13905143737793,0,0
6355,2023/2/19 06:54:04,0,0,0,0,-413.5557251,-413.5127869,-413.5327454,-226.6666565,-260,330.014770507813,8.13394165039063,0,0
6356,2023/2/19 06:54:08,0,0,0,0,-413.5557251,-413.5127869,-413.5327454,-340,-346.6666565,330.409057617188,8.20839500427246,0,0
6357,2023/2/19 06:54:12,0,0,0,0,-413.5557251,-413.5127869,-413.5327454,-486.6666565,-499.9999695,329.620483398438,8.11532878875732,0,0
6358,2023/2/19 06:54:16,0,-0.200000003,-0.200000003,0,-413.577301,-413.5343323,-413.5540161,-673.333313,-673.333313,330.014770507813,8.11532878875732,0,0
6359,2023/2/19 06:54:20,0,0,0,0,-413.9437561,-413.8792114,-413.8942566,-666.666626,-653.333313,330.014770507813,8.11532878875732,0,0
6360,2023/2/19 06:54:24,0,-0.200000003,-0.200000003,0,-414.2455444,-414.2025146,-414.2132263,-726.666626,-726.666626,330.014770507813,8.11532878875732,0,0
6361,2023/2/19 06:54:28,0,0,0,0,-414.5688782,-414.5042725,-414.5109253,-786.666626,-779.999939,330.014770507813,8.11532878875732,0,0
6362,2023/2/19 06:54:32,0,-0.200000003,-0.200000003,0,-414.7628784,-414.7198181,-414.7235718,-906.666626,-906.666626,330.014770507813,8.11532878875732,0,0
6363,2023/2/19 06:54:36,0,0,0,0,-415.0215454,-414.9784546,-414.9787598,0,0,283.883666992188,8.11532878875732,0,0
6364,2023/2/19 06:54:40,0,0,0,0,-415.0215454,-414.9784546,-414.9787598,0,0,220.009841918945,0.818978130817413,0,0
6365,2023/2/19 06:54:44,0,0,0,0,-415.0215454,-414.9784546,-414.9787598,6.66666650772095,0,220.009841918945,0.465328484773636,0,0
6366,2023/2/19 06:54:48,0,0,0,0,-415.0215454,-414.9784546,-414.9787598,0,0,220.009841918945,0.0558394193649292,0,0
6367,2023/2/19 06:54:52,0,0,0,0,-415.0215454,-414.9784546,-414.9787598,0,0,220.009841918945,0.0558394193649292,0,0
6368,2023/2/19 06:54:56,0,0,0,0,-415.0215454,-414.9784546,-414.9787598,0,0,220.009841918945,0.0558394193649292,0,0
6369,2023/2/19 06:55:00,0,0,0,0,-415.0215454,-414.9784546,-414.9787598,0,0,220.009841918945,0.0558394193649292,0,0
6370,2023/2/19 06:55:04,0,0,0,0,-415.0215454,-414.9784546,-414.9787598,0,0,220.009841918945,0.0558394193649292,0,0
6371,2023/2/19 06:55:08,0,0,0,0,-415.0215454,-414.9784546,-414.9787598,0,0,220.009841918945,0.0558394193649292,0,0
6372,2023/2/19 06:55:12,0,0,0,0,-415.0215454,-414.9784546,-414.9787598,0,0,220.009841918945,0.0558394193649292,0,0
6373,2023/2/19 06:55:16,0,0,0,0,-415.0215454,-414.9784546,-414.9787598,0,0,220.009841918945,0.0558394193649292,0,0
6374,2023/2/19 06:55:20,0,0,0,0,-415.0215454,-414.9784546,-414.9787598,0,0,220.009841918945,0.0558394193649292,0,0
