id,time,SuDuMoNiLiang,FPLCSuDu,BianmaQiSuDu,CSJSuDu,LGuanLongShenDu,FPLCShenDu,BianmaQiShenDu,DianshuDianliu1,DianshuDianliu2,LiCi_Current,ZhiDongPressure,Shang_GuoJuan,Xia_GuoJuan
1942,2023/1/4 04:49:36,0,0,0,0,-415.1509094,-415.1724548,-415.1701355,0,0,231.444046020508,2.82919716835022,0,0
1943,2023/1/4 04:49:40,0,0,0,0,-415.1509094,-415.1724548,-415.1701355,0,0,220.009841918945,0.967883288860321,0,0
1944,2023/1/4 04:49:44,0,0,0,0,-415.1509094,-415.1724548,-415.1701355,0,0,220.009841918945,0.967883288860321,0,0
1945,2023/1/4 04:49:48,0,0,0,0,-415.1509094,-415.1724548,-415.1701355,0,0,220.009841918945,0.874817550182343,0,0
1946,2023/1/4 04:49:52,0,0,0,0,-415.1509094,-415.1724548,-415.1701355,0,0,220.009841918945,0.874817550182343,0,0
1947,2023/1/4 04:49:56,0,0,0,0,-415.1509094,-415.1724548,-415.1701355,0,0,220.009841918945,0.874817550182343,0,0
1948,2023/1/4 04:50:00,0,0,0,0,-415.1509094,-415.1724548,-415.1701355,1200,1186.66662597656,328.043365478516,5.41642379760742,0,0
1949,2023/1/4 04:50:04,0,0,0,0,-415.1509094,-415.1724548,-415.1701355,2780,2760,330.014770507813,7.11021947860718,0,0
1950,2023/1/4 04:50:08,0,0.200000002980232,0,0.100000001490116,-414.7628479,-414.8491211,-414.7661133,2553.33325195313,2546.66650390625,329.226196289063,8.00364971160889,0,0
1951,2023/1/4 04:50:12,0.300000011920929,0.400000005960464,0.400000005960464,0.400000005960464,-414.0083008,-414.1808167,-414.0643616,2773.33325195313,2766.66650390625,329.620483398438,8.99014663696289,0,0
1952,2023/1/4 04:50:16,2.09999990463257,2.20000004768372,2.20000004768372,2.20000004768372,-408.6402588,-408.6405945,-408.7269592,3613.33325195313,3593.33325195313,329.620483398438,9.90219020843506,0,0
1953,2023/1/4 04:50:20,5.59999990463257,5.59999990463257,5.40000009536743,5.59999990463257,-390.1862183,-387.4497375,-390.3543396,3599.99975585938,3586.66650390625,330.409057617188,10.7211685180664,0,0
1954,2023/1/4 04:50:24,7.59999990463257,7.59999990463257,7.59999990463257,7.69999980926514,-356.9862061,-356.9892578,-358.329834,2286.66650390625,2280,329.226196289063,11.260950088501,0,0
1955,2023/1/4 04:50:28,7.69999980926514,7.80000019073486,7.40000009536743,7.69999980926514,-321.9753113,-322.0879517,-322.3288574,2160,2153.33325195313,330.014770507813,11.2237234115601,0,0
1956,2023/1/4 04:50:32,7.90000009536743,8,7.80000019073486,7.90000009536743,-286.8781738,-292.1663818,-287.1784668,2146.66650390625,2140,330.014770507813,11.2237234115601,0,0
1957,2023/1/4 04:50:36,7.90000009536743,7.59999990463257,7.80000019073486,8,-250.573761,-252.4362488,-250.8798065,2133.33325195313,2126.66650390625,329.620483398438,11.2237234115601,0,0
1958,2023/1/4 04:50:40,7.80000019073486,7.80000019073486,7.80000019073486,7.90000009536743,-214.2693481,-212.7061005,-214.623642,2146.66650390625,2140,329.226196289063,11.2237234115601,0,0
1959,2023/1/4 04:50:44,7.80000019073486,7.80000019073486,7.80000019073486,7.80000019073486,-178.0080414,-178.9688873,-178.4312897,2153.33325195313,2153.33325195313,329.620483398438,11.2237234115601,0,0
1960,2023/1/4 04:50:48,7.90000009536743,7.80000019073486,7.59999990463257,8,-141.7467499,-143.3130798,-142.2602081,2173.33325195313,2166.66650390625,330.409057617188,11.2237234115601,0,0
