id,time,SuDuMoNiLiang,FPLCSuDu,BianmaQiSuDu,CSJSuDu,LGuanLongShenDu,FPLCShenDu,BianmaQiShenDu,DianshuDianliu1,DianshuDianliu2,LiCi_Current,ZhiDongPressure,Shang_GuoJuan,Xia_GuoJuan
1157,2023/1/3 12:33:20,0,0,0,0,0.215562015771866,0.215562015771866,0.212656930088997,0,0,221.586975097656,1.28430664539337,0,0
1158,2023/1/3 12:33:24,0,0,0,0,0.215562015771866,0.215562015771866,0.212656930088997,0,0,220.009841918945,0.874817550182343,0,0
1159,2023/1/3 12:33:28,0,0,0,0,0.215562015771866,0.215562015771866,0.212656930088997,0,0,220.009841918945,0.874817550182343,0,0
1160,2023/1/3 12:33:32,0,0,0,0,0.215562015771866,0.215562015771866,0.212656930088997,0,0,220.009841918945,0.874817550182343,0,0
1161,2023/1/3 12:33:36,0,0,0,0,0.215562015771866,0.215562015771866,0.212656930088997,-180,-186.6666565,237.752578735352,0.874817550182343,0,0
1162,2023/1/3 12:33:40,0,0,0,0,0.215562015771866,0.215562015771866,0.212656930088997,-1826.666626,-1833.333252,329.620483398438,6.32846736907959,0,0
1163,2023/1/3 12:33:44,0,-0.200000003,-0.200000003,-0.100000001,0.150893419981003,0.215562015771866,0.170125544071198,-3193.333252,-3159.999756,331.197631835938,7.40802955627441,0,0
1164,2023/1/3 12:33:48,0,-0.200000003,0,-0.100000001,-0.431124032,-0.474236429,-0.446579546,-2306.666504,-2293.333252,328.437652587891,8.46897888183594,0,0
1165,2023/1/3 12:33:52,-0.800000012,-0.899999976,-0.699999988,-0.800000012,-2.306513548,-2.716081381,-2.062772274,-2720,-2720,330.014770507813,9.62299346923828,0,0
1166,2023/1/3 12:33:56,-3.299999952,-3.299999952,-3.299999952,-3.299999952,-12.4379282,-13.81752491,-10.93056583,-3599.999756,-3586.666504,330.409057617188,10.3302927017212,0,0
1167,2023/1/3 12:34:00,-6.599999905,-6.699999809,-6.699999809,-6.5,-36.73176956,-31.17026711,-36.5557251,-3406.666504,-3406.666504,329.620483398438,11.3167886734009,0,0
1168,2023/1/3 12:34:04,-7.699999809,-7.400000095,-7.599999905,-7.699999809,-69.88520813,-64.43148804,-69.6451416,-2220,-2213.333252,330.409057617188,11.3167886734009,0,0
1169,2023/1/3 12:34:08,-7.699999809,-7.800000191,-7.599999905,-7.699999809,-105.5176086,-109.0097122,-103.7553177,-2313.333252,-2306.666504,329.620483398438,11.3167886734009,0,0
1170,2023/1/3 12:34:12,-7.800000191,-7.800000191,-7.800000191,-7.900000095,-141.6457977,-145.181015,-138.1844635,-2233.333252,-2226.666504,330.803344726563,11.3167886734009,0,0
1171,2023/1/3 12:34:16,-7.900000095,-7.800000191,-7.800000191,-8,-178.3991241,-181.5463257,-178.1639709,-2246.666504,-2246.666504,329.620483398438,11.3167886734009,0,0
1172,2023/1/3 12:34:20,-7.800000191,-7.800000191,-7.800000191,-7.900000095,-214.3117523,-217.8900909,-212.9333801,-2240,-2240,330.803344726563,11.3167886734009,0,0
1173,2023/1/3 12:34:24,-7.800000191,-7.800000191,-7.599999905,-7.800000191,-250.6123962,-245.0293427,-247.5539246,-2266.666504,-2260,329.620483398438,11.3167886734009,0,0
1174,2023/1/3 12:34:28,-7.800000191,-7.599999905,-7.800000191,-7.800000191,-287.6459656,-281.2653198,-287.4058228,-2253.333252,-2246.666504,330.803344726563,11.3167886734009,0,0
1175,2023/1/3 12:34:32,-7.900000095,-7.800000191,-7.800000191,-7.900000095,-323.0843506,-326.5764465,-322.3028259,-2266.666504,-2266.666504,330.014770507813,11.3167886734009,0,0
1176,2023/1/3 12:34:36,-7.800000191,-7.800000191,-7.599999905,-7.800000191,-359.3203125,-362.790863,-357.5401001,-1973.333252,-1979.999878,329.226196289063,11.3167886734009,0,0
1177,2023/1/3 12:34:40,-5,-5.199999809,-5.099999905,-5,-389.4127808,-391.3097229,-387.3545837,-33.33333206,-99.99999237,330.014770507813,11.3167886734009,0,0
1178,2023/1/3 12:34:44,-1,-1.100000024,-1.100000024,-1.200000048,-400.6435547,-401.0746765,-400.4755249,-1893.333252,-1906.666626,330.409057617188,11.3167886734009,0,0
1179,2023/1/3 12:34:48,-1.200000048,-1.100000024,-1.299999952,-1.200000048,-405.730835,-404.8470154,-405.4304199,-2293.333252,-2293.333252,329.620483398438,11.3167886734009,0,0
1180,2023/1/3 12:34:52,-1,-0.899999976,-1.100000024,-0.899999976,-410.6240845,-409.977417,-410.3640747,-1913.333252,-1906.666626,329.620483398438,11.3167886734009,0,0
1181,2023/1/3 12:34:56,-0.400000006,-0.400000006,-0.400000006,-0.400000006,-413.577301,-413.7713013,-413.6177063,-2186.666504,-2180,330.014770507813,11.3167886734009,0,0
