id,time,SuDuMoNiLiang,FPLCSuDu,BianmaQiSuDu,CSJSuDu,LGuanLongShenDu,FPLCShenDu,BianmaQiShenDu,DianshuDianliu1,DianshuDianliu2,LiCi_Current,ZhiDongPressure,Shang_GuoJuan,Xia_GuoJuan
2411,2023/2/19 02:20:16,-7.800000191,-7.599999905,-7.599999905,-8,-169.7207947,-169.534668,-169.4827881,-2180,-2173.333252,330.014770507813,11.9124097824097,0,0
2412,2023/2/19 02:20:20,-7.800000191,-7.599999905,-7.800000191,-7.900000095,-205.4628296,-205.2477264,-205.2036591,-2200,-2206.666504,330.014770507813,11.9124097824097,0,0
2413,2023/2/19 02:20:24,-7.699999809,-7.599999905,-7.599999905,-7.900000095,-241.4204559,-241.1547699,-241.137146,-2186.666504,-2186.666504,330.409057617188,11.9124097824097,0,0
2414,2023/2/19 02:20:28,-7.800000191,-7.599999905,-7.800000191,-8,-277.3780518,-277.1264648,-277.0919189,-2206.666504,-2200,330.409057617188,11.9124097824097,0,0
2415,2023/2/19 02:20:32,-7.800000191,-7.599999905,-7.599999905,-8,-313.3356628,-313.1628113,-313.1104431,-2220,-2213.333252,330.014770507813,11.931022644043,0,0
2416,2023/2/19 02:20:36,-7.800000191,-7.800000191,-7.599999905,-8,-349.3148499,-349.1129456,-349.0864868,-2213.333252,-2213.333252,329.620483398438,11.9124097824097,0,0
2417,2023/2/19 02:20:40,-5.699999809,-5.599999905,-5.599999905,-5.800000191,-382.254425,-382.0241394,-382.0219727,-360,-373.333313,330.409057617188,11.9124097824097,0,0
2418,2023/2/19 02:20:44,-1.5,-1.5,-1.600000024,-1.700000048,-397.991272,-397.8223877,-397.8624878,-793.333313,-779.999939,329.620483398438,11.9124097824097,0,0
2419,2023/2/19 02:20:48,-1.200000048,-1.100000024,-1.299999952,-1.200000048,-403.4668274,-403.3183594,-403.2843933,-2320,-2320,330.014770507813,11.9124097824097,0,0
2420,2023/2/19 02:20:52,-1,-1.100000024,-1.100000024,-1.100000024,-408.4034729,-408.3401794,-408.3661194,-2033.333252,-2026.666626,330.014770507813,11.9124097824097,0,0
2421,2023/2/19 02:20:56,-0.5,-0.600000024,-0.5,-0.600000024,-412.2622375,-412.2412415,-412.2571411,-1986.666626,-1986.666626,330.409057617188,11.9124097824097,0,0
2422,2023/2/19 02:21:00,-0.200000003,-0.200000003,-0.400000006,-0.100000001,-414.2670593,-414.245636,-414.2345581,-2160,-2153.333252,330.409057617188,10.088321685791,0,0
2423,2023/2/19 02:21:04,0,0,0,0,-415.1508789,-415.1940002,-415.170105,0,0,311.089202880859,7.91058444976807,0,0
