id,time,SuDuMoNiLiang,FPLCSuDu,BianmaQiSuDu,CSJSuDu,LGuanLongShenDu,FPLCShenDu,BianmaQiShenDu,DianshuDianliu1,DianshuDianliu2,LiCi_Current,ZhiDongPressure,Shang_GuoJuan,Xia_GuoJuan
532,2023/1/3 09:48:16,0,0,0,0,0.215573221445084,0.280216068029404,0.212646037340164,0,0,223.952682495117,1.91715335845947,0,0
533,2023/1/3 09:48:20,0,0,0,0,0.215573221445084,0.280216068029404,0.212646037340164,0,0,220.009841918945,0.967883288860321,0,0
534,2023/1/3 09:48:24,0,0,0,0,0.215573221445084,0.280216068029404,0.212646037340164,0,0,220.009841918945,0.874817550182343,0,0
535,2023/1/3 09:48:28,0,0,0,0,0.215573221445084,0.280216068029404,0.212646037340164,0,0,220.009841918945,0.874817550182343,0,0
536,2023/1/3 09:48:32,0,0,0,0,0.215573221445084,0.280216068029404,0.212646037340164,0,0,220.009841918945,0.874817550182343,0,0
537,2023/1/3 09:48:36,0,0,0,0,0.215573221445084,0.280216068029404,0.212646037340164,-713.333313,-713.333313,315.032012939453,2.55000019073486,0,0
538,2023/1/3 09:48:40,0,0,0,0,0.215573221445084,0.280216068029404,0.212646037340164,-2386.666504,-2393.333252,330.014770507813,6.81240940093994,0,0
539,2023/1/3 09:48:44,0,0,-0.200000003,-0.100000001,-0.064671963,0,-0.085058413,-2506.666504,-2500,329.226196289063,7.70584011077881,0,0
540,2023/1/3 09:48:48,-0.200000003,-0.400000006,-0.200000003,-0.200000003,-0.711391628,-0.64665246,-0.744261146,-2673.333252,-2660,330.014770507813,8.78540229797363,0,0
541,2023/1/3 09:48:52,-1.799999952,-1.899999976,-1.799999952,-1.899999976,-5.281543732,-4.979223728,-5.146034241,-3519.999756,-3513.333252,329.620483398438,9.73467254638672,0,0
542,2023/1/3 09:48:56,-5.199999809,-5.199999809,-5.099999905,-5.199999809,-21.66510963,-21.49041557,-21.47725105,-3613.333252,-3599.999756,329.620483398438,10.6281032562256,0,0
